Namespace(Cluster_gamma=0.01, Feature_alpha=1.0, Label_beta=0.05, Use_tSNE=True, arch='resnet20_1w1a', batch_size=128, epochs=700, evaluate=False, lr=0.1, momentum=0.9, num_classes=10, print_freq=50, resume='', save_dir='saveModel-000', save_every=100, seed=2023, start_epoch=0, temperature=4.0, warm_up_epochs=8, weight_decay=0.0001, workers=4)
Epoch	train_loss	val_loss	train_acc	val_acc	
396	0.635	0.662	80.649	77.514
397	0.643	0.667	80.551	77.133
398	0.635	0.663	80.613	77.264
399	0.643	0.627	80.593	77.985
400	0.639	0.631	80.437	78.045
401	0.639	0.585	80.535	79.838
402	0.635	0.642	80.631	77.504
403	0.641	0.584	80.385	79.748
404	0.638	0.718	80.559	75.200
405	0.641	0.576	80.483	80.218
406	0.634	0.602	80.769	79.677
407	0.641	0.635	80.595	78.335
408	0.635	0.580	80.673	80.018
409	0.640	0.650	80.565	77.584
410	0.634	0.628	80.563	78.546
411	0.638	0.649	80.635	77.754
412	0.630	0.601	80.791	79.547
413	0.630	0.610	81.026	79.207
414	0.631	0.604	80.877	79.437
415	0.629	0.644	80.901	78.436
416	0.629	0.662	80.833	77.384
417	0.630	0.624	81.032	78.806
418	0.622	0.561	81.234	80.649
419	0.627	0.600	81.022	78.846
420	0.629	0.624	80.958	78.786
421	0.625	0.626	81.054	78.496
422	0.628	0.595	80.883	79.006
423	0.620	0.698	81.150	76.172
424	0.622	0.618	81.074	78.085
425	0.624	0.612	81.228	78.826
426	0.626	0.619	81.042	78.726
427	0.621	0.592	81.364	79.547
428	0.621	0.635	81.270	78.195
429	0.620	0.577	81.234	79.778
430	0.621	0.640	81.338	78.055
431	0.621	0.612	81.216	79.067
432	0.614	0.628	81.558	78.205
433	0.617	0.579	81.218	80.278
434	0.618	0.593	81.418	79.267
435	0.610	0.623	81.785	78.636
436	0.621	0.627	81.206	78.536
437	0.622	0.651	81.170	77.845
438	0.611	0.605	81.569	79.097
439	0.620	0.629	81.186	78.005
440	0.613	0.623	81.400	78.616
441	0.612	0.637	81.657	78.105
442	0.615	0.591	81.386	79.327
443	0.611	0.622	81.544	78.706
444	0.615	0.662	81.398	77.454
445	0.613	0.632	81.573	77.915
446	0.606	0.597	81.877	78.956
447	0.612	0.610	81.434	79.407
448	0.605	0.573	81.761	80.509
449	0.604	0.587	81.815	80.288
450	0.605	0.617	81.689	78.726
451	0.609	0.565	81.625	80.509
452	0.605	0.583	81.697	80.238
453	0.601	0.649	81.895	77.835
454	0.608	0.595	81.504	79.337
455	0.602	0.641	81.667	77.354
456	0.602	0.594	81.973	80.288
457	0.600	0.589	81.871	79.818
458	0.596	0.567	82.057	80.539
459	0.594	0.568	82.153	80.329
460	0.599	0.590	82.065	79.818
461	0.597	0.588	82.031	79.227
462	0.598	0.595	82.035	79.928
463	0.598	0.557	81.981	80.839
464	0.595	0.670	82.015	76.943
465	0.590	0.579	82.338	80.238
466	0.590	0.757	82.382	75.150
467	0.589	0.557	82.448	80.699
468	0.593	0.598	82.242	78.946
469	0.594	0.553	82.115	80.779
470	0.590	0.564	82.486	80.379
471	0.589	0.615	82.320	79.147
472	0.589	0.633	82.424	78.175
473	0.590	0.585	82.296	80.449
474	0.588	0.556	82.368	80.829
475	0.585	0.564	82.430	80.479
476	0.587	0.574	82.454	80.258
477	0.582	0.582	82.821	79.798
478	0.582	0.574	82.604	80.679
479	0.582	0.567	82.634	80.369
480	0.584	0.557	82.540	80.779
481	0.583	0.547	82.744	81.110
482	0.580	0.565	82.648	80.569
483	0.575	0.569	82.891	80.198
484	0.581	0.557	82.696	81.150
485	0.577	0.555	82.726	81.190
486	0.579	0.586	82.778	79.888
487	0.579	0.515	82.905	82.161
488	0.569	0.578	83.137	80.589
489	0.567	0.523	83.009	82.131
490	0.570	0.608	83.045	78.826
491	0.571	0.533	82.833	81.440
492	0.567	0.548	83.079	81.591
493	0.567	0.557	83.267	80.529
494	0.566	0.566	83.301	80.288
495	0.566	0.534	83.261	81.611
496	0.569	0.524	83.149	82.111
497	0.565	0.556	83.217	80.970
498	0.566	0.544	83.125	81.080
499	0.565	0.538	83.019	81.561
500	0.562	0.537	83.295	81.220
501	0.561	0.527	83.247	81.671
502	0.562	0.572	83.169	80.479
503	0.560	0.552	83.273	81.090
504	0.559	0.559	83.540	81.180
